rowIndex,barcode,excelOrder,coneId,issueStatus,latestIssueOrder,latestIssueArticleId,issueTxnId,action,reason,needsConeClose,needsReturnTxn,returnTxnId
33,699bd5294583baeaf6e67a41,ORD-000071,699bd5294583baeaf6e67a82,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
34,699bd5294583baeaf6e67a43,ORD-000071,699bd5294583baeaf6e67a84,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
35,699bd5294583baeaf6e67a47,ORD-000029,699bd5294583baeaf6e67a88,issued,ORD-000029,69de2b3d007e05d7e741f3ed,69de30ac007e05d7e7420b89,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
36,699bd5294583baeaf6e67a4c,ORD-000071,699bd5294583baeaf6e67a8d,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
37,699bd5294583baeaf6e67a4f,ORD-000071,699bd5294583baeaf6e67a90,issued,ORD-000031,69e20427514236271de9197c,69e6f270f0694e7c1e219ae8,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
38,699bd5294583baeaf6e67a51,ORD-000071,699bd5294583baeaf6e67a92,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
39,699bd5294583baeaf6e67a54,ORD-000071,699bd5294583baeaf6e67a95,issued,ORD-000031,69e20427514236271de9197c,69e6f262f0694e7c1e219ac1,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
40,699bd5294583baeaf6e67a58,ORD-000071,699bd5294583baeaf6e67a99,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
41,699bd5294583baeaf6e67a5a,ORD-000071,699bd5294583baeaf6e67a9b,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
42,699bd5294583baeaf6e67a60,ORD-000071,699bd5294583baeaf6e67aa1,issued,ORD-000031,69e20427514236271de9197c,69e6f28ef0694e7c1e219b23,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
43,699bd5294583baeaf6e67a62,ORD-000071,699bd5294583baeaf6e67aa3,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
44,699bd5294583baeaf6e67a66,ORD-000071,699bd5294583baeaf6e67aa7,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
45,699bd5294583baeaf6e67a67,ORD-000071,699bd5294583baeaf6e67aa8,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
46,699bd5294583baeaf6e67a6c,ORD-000029,699bd5294583baeaf6e67aad,issued,ORD-000029,69de2b3d007e05d7e741f3ed,69de30b9007e05d7e7420ba4,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
47,699bd5294583baeaf6e67a70,ORD-000071,699bd5294583baeaf6e67ab1,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
