ordinal,spreadsheetBarcode,spreadsheetBoxId,spreadsheetSupplier,spreadsheetColour,parsedPoNumber,parsedVendorLotToken,poLotClusterBoxCount,poLotDistinctYarnKinds,poLotHomogeneousYarn,poLotYarnBreakdownCsv,poLotClusterPreviewCsv,poLotClusterStoragePreviewCsv,sheetBarcodeInPoLotCluster,conesTotalForSheetBoxId,conesActiveShortTermForSheetBoxId,conesStatusCsvForSheetBoxId,conesBarcodeSampleCsvForSheetBoxId,conesTotalForClusterBoxIds,conesActiveShortTermForClusterBoxIds,conesStatusCsvForClusterCombined,conesBarcodeSampleCsvForClusterCombined,coneRollupQueryBoxIdsCsv,coneRemediationSignalsCsv,issuesCsv,notes
1,699420f49c9936ad06eb5027,BOX-PO-2026-607-EW19046-1771315444089-75,Wampum,20/70-Greyish Brown,PO-2026-607,EW19046,1,1,true,catalog:692e7cbdabe3fbc58a86e634 ×1,699d489a4583baeaf6e8e615→BOX-PO-2026-607-EW19046-1771915418731-1→lot:EW19046→20/70-Greyish Brown Melange-,699d489a4583baeaf6e8e615→LT@B7-03-S0009-F01|stored=true|23.88kg,false,0,0,,,0,0,,,BOX-PO-2026-607-EW19046-1771315444089-75|BOX-PO-2026-607-EW19046-1771915418731-1,NO_CONES_REFERENCE_SHEET_BOX_ID,YARN_BOX_NOT_FOUND;CLUSTER_HAS_OTHER_BOX_IDS_LIKELY_REPLACEMENT_OR_STALE_SCAN,"No YarnCone docs use the stale spreadsheet `Box id`; physical stock ties to newer cluster box ids. | No YarnBox matched barcode/ObjectId nor sheet boxId (after `--` collapse). Parsed PO/vendor-lot slice below compares against live YarnBox clusters for recreated rows / relocated stickers. | 1 YarnBox(es) exist for PO PO-2026-607 + supplier lot ""EW19046""; none matches this barcode."
2,69941f899c9936ad06eb4912,BOX-PO-2026-993-MU2504779-1771315081697-41,Vardhman Textiles,Olive-Military,PO-2026-993,MU2504779,1,1,true,catalog:6926a7b8a5ccbd9b84f71a8f ×1,699d1dd44583baeaf6e89715→BOX-PO-2026-993-MU2504779-1771904468607-1→lot:MU2504779→2/40s-Olive-Military Olive-C,699d1dd44583baeaf6e89715→LT@B7-03-S0008-F01|stored=true|12.35kg,false,0,0,,,0,0,,,BOX-PO-2026-993-MU2504779-1771315081697-41|BOX-PO-2026-993-MU2504779-1771904468607-1,NO_CONES_REFERENCE_SHEET_BOX_ID,YARN_BOX_NOT_FOUND;CLUSTER_HAS_OTHER_BOX_IDS_LIKELY_REPLACEMENT_OR_STALE_SCAN,"No YarnCone docs use the stale spreadsheet `Box id`; physical stock ties to newer cluster box ids. | No YarnBox matched barcode/ObjectId nor sheet boxId (after `--` collapse). Parsed PO/vendor-lot slice below compares against live YarnBox clusters for recreated rows / relocated stickers. | 1 YarnBox(es) exist for PO PO-2026-993 + supplier lot ""MU2504779""; none matches this barcode."
3,699420f49c9936ad06eb5010,BOX-PO-2026-607-EW17156-1771315444089-62,Wampum,20/70-Medium Royal,PO-2026-607,EW17156,0,0,true,,,,false,0,0,,,0,0,,,BOX-PO-2026-607-EW17156-1771315444089-62,NO_CONES_REFERENCE_SHEET_BOX_ID;NO_CLUSTER_ALTERNATIVE_FOUND_FOR_THIS_PO_VENDOR_LOT,YARN_BOX_NOT_FOUND,"No YarnCone docs use the stale spreadsheet `Box id`; physical stock ties to newer cluster box ids. | No YarnBox matched barcode/ObjectId nor sheet boxId (after `--` collapse). Parsed PO/vendor-lot slice below compares against live YarnBox clusters for recreated rows / relocated stickers. | No YarnBox matched parsed PO ""PO-2026-607"" + supplier lot ""EW17156""."
4,699420f49c9936ad06eb5011,BOX-PO-2026-607-EW17156-1771315444089-63,Wampum,20/70-Medium Royal,PO-2026-607,EW17156,0,0,true,,,,false,0,0,,,0,0,,,BOX-PO-2026-607-EW17156-1771315444089-63,NO_CONES_REFERENCE_SHEET_BOX_ID;NO_CLUSTER_ALTERNATIVE_FOUND_FOR_THIS_PO_VENDOR_LOT,YARN_BOX_NOT_FOUND,"No YarnCone docs use the stale spreadsheet `Box id`; physical stock ties to newer cluster box ids. | No YarnBox matched barcode/ObjectId nor sheet boxId (after `--` collapse). Parsed PO/vendor-lot slice below compares against live YarnBox clusters for recreated rows / relocated stickers. | No YarnBox matched parsed PO ""PO-2026-607"" + supplier lot ""EW17156""."
5,69941f899c9936ad06eb4934,BOX-PO-2026-993-MU2410220-1771315081697-61,Vardhman Textiles,2/40s-Navy-Navy-Cotton/Gassed,PO-2026-993,MU2410220,2,1,true,catalog:6926a7b8a5ccbd9b84f71a91 ×2,699c58fd4583baeaf6e88761→BOX-PO-2026-993-MU2410220-1771854077203-2→lot:MU2410220→2/40s-Navy-Navy-Cotton/Gasse || 699c58fd4583baeaf6e88760→BOX-PO-2026-993-MU2410220-1771854077203-1→lot:MU2410220→2/40s-Navy-Navy-Cotton/Gasse,699c58fd4583baeaf6e88761→LT@B7-03-S0010-F01|stored=true|8.8kg || 699c58fd4583baeaf6e88760→LT@B7-03-S0010-F01|stored=true|8.5kg,false,0,0,,,0,0,,,BOX-PO-2026-993-MU2410220-1771315081697-61|BOX-PO-2026-993-MU2410220-1771854077203-2|BOX-PO-2026-993-MU2410220-1771854077203-1,NO_CONES_REFERENCE_SHEET_BOX_ID,YARN_BOX_NOT_FOUND;CLUSTER_HAS_OTHER_BOX_IDS_LIKELY_REPLACEMENT_OR_STALE_SCAN,"No YarnCone docs use the stale spreadsheet `Box id`; physical stock ties to newer cluster box ids. | No YarnBox matched barcode/ObjectId nor sheet boxId (after `--` collapse). Parsed PO/vendor-lot slice below compares against live YarnBox clusters for recreated rows / relocated stickers. | 2 YarnBox(es) exist for PO PO-2026-993 + supplier lot ""MU2410220""; none matches this barcode."
6,69941f899c9936ad06eb4946,BOX-PO-2026-993-MU2410219--1771315081697-71,Vardhman Textiles,2/40s-Black-Jet,PO-2026-993,MU2410219,1,1,true,catalog:6926a7b8a5ccbd9b84f7196b ×1,699d22964583baeaf6e89c5d→BOX-PO-2026-993-MU2410219-1771905686575-1→lot:MU2410219→2/40s-Black-Black-Cotton/Gas,699d22964583baeaf6e89c5d→LT@B7-03-S0010-F01|stored=true|9.4kg,false,0,0,,,0,0,,,BOX-PO-2026-993-MU2410219-1771315081697-71|BOX-PO-2026-993-MU2410219-1771905686575-1,NO_CONES_REFERENCE_SHEET_BOX_ID,YARN_BOX_NOT_FOUND;CLUSTER_HAS_OTHER_BOX_IDS_LIKELY_REPLACEMENT_OR_STALE_SCAN,"No YarnCone docs use the stale spreadsheet `Box id`; physical stock ties to newer cluster box ids. | No YarnBox matched barcode/ObjectId nor sheet boxId (after `--` collapse). Parsed PO/vendor-lot slice below compares against live YarnBox clusters for recreated rows / relocated stickers. | 1 YarnBox(es) exist for PO PO-2026-993 + supplier lot ""MU2410219""; none matches this barcode."
7,69941f899c9936ad06eb4947,BOX-PO-2026-993-MU2410219-1771315081697-72,Vardhman Textiles,2/40s-Black-Jet,PO-2026-993,MU2410219,1,1,true,catalog:6926a7b8a5ccbd9b84f7196b ×1,699d22964583baeaf6e89c5d→BOX-PO-2026-993-MU2410219-1771905686575-1→lot:MU2410219→2/40s-Black-Black-Cotton/Gas,699d22964583baeaf6e89c5d→LT@B7-03-S0010-F01|stored=true|9.4kg,false,0,0,,,0,0,,,BOX-PO-2026-993-MU2410219-1771315081697-72|BOX-PO-2026-993-MU2410219-1771905686575-1,NO_CONES_REFERENCE_SHEET_BOX_ID,YARN_BOX_NOT_FOUND;CLUSTER_HAS_OTHER_BOX_IDS_LIKELY_REPLACEMENT_OR_STALE_SCAN,"No YarnCone docs use the stale spreadsheet `Box id`; physical stock ties to newer cluster box ids. | No YarnBox matched barcode/ObjectId nor sheet boxId (after `--` collapse). Parsed PO/vendor-lot slice below compares against live YarnBox clusters for recreated rows / relocated stickers. | 1 YarnBox(es) exist for PO PO-2026-993 + supplier lot ""MU2410219""; none matches this barcode."
