rowIndex,barcode,boxId,status,bucket,reason,docId,poNumber,yarnName,yarnCatalogId,beforeBoxWeight,beforeGrossWeight,beforeNumberOfCones,beforeStorageLocation,beforeStoredStatus,afterBoxWeight,afterGrossWeight,afterNumberOfCones,afterStorageLocation,afterStoredStatus,stConeCount,issuedStConeCount,message
72,699d7936a4fa520dcb8c8a29,BOX-PO-2026-771-M0116001-1771927862096-12,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699d7936a4fa520dcb8c8a36,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,5.838000000000001,0,17,B7-04-S0009-F02,true,,,,,,0,1,
73,69a9107593145c5b2859b447,BOX-PO-2026-771-M0116194-1772687477550-15,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b458,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,5.43,0,18,B7-04-S0012-F01,true,,,,,,3,14,
74,69a9107593145c5b2859b43b,BOX-PO-2026-771-M0116194-1772687477550-3,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b44c,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,3.3580000000000005,0,18,B7-04-S0015-F02,true,,,,,,0,15,
75,69a9107593145c5b2859b443,BOX-PO-2026-771-M0116194-1772687477550-11,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b454,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,12.371,0,18,B7-04-S0015-F02,true,,,,,,1,8,
77,69a9107593145c5b2859b43e,BOX-PO-2026-771-M0116194-1772687477550-6,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b44f,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,1.9920000000000009,0,18,B7-04-S0016-F01,true,,,,,,0,18,
78,69a9107593145c5b2859b43c,BOX-PO-2026-771-M0116194-1772687477550-4,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b44d,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,3.3689999999999998,0,18,B7-04-S0016-F02,true,,,,,,0,1,
80,69a9107593145c5b2859b43a,BOX-PO-2026-771-M0116194-1772687477550-2,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b44b,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,3.556000000000001,0,10,B7-04-S0017-F01,true,,,,,,0,2,
81,69a9107593145c5b2859b43f,BOX-PO-2026-771-M0116194-1772687477550-7,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b450,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,5.111000000000001,0,18,B7-04-S0017-F02,true,,,,,,0,2,
82,69a9107593145c5b2859b445,BOX-PO-2026-771-M0116194-1772687477550-13,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b456,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,12.489000000000003,0,18,B7-04-S0017-F02,true,,,,,,1,7,
83,69a9107593145c5b2859b43d,BOX-PO-2026-771-M0116194-1772687477550-5,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b44e,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,1.536000000000005,0.06,18,B7-04-S0020-F02,true,,,,,,0,3,
84,69a9107593145c5b2859b440,BOX-PO-2026-771-M0116194-1772687477550-8,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b451,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,2,0,18,B7-04-S0020-F02,true,,,,,,0,9,
85,69a9107593145c5b2859b442,BOX-PO-2026-771-M0116194-1772687477550-10,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69a9107593145c5b2859b453,PO-2026-771,30s-White-White-Cotton/Compact,6926a7b8a5ccbd9b84f717d7,13.465,0.06,18,B7-04-S0020-F02,true,,,,,,0,6,
86,69ae64e7bec7c1c9b31c8b41,BOX-PO-2026-278-NC-1623-1773036775124-2,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69ae64e7bec7c1c9b31c8b54,PO-2026-278,Soft top-Beige-Beige-Rubber/Soft top,6926a7b6a5ccbd9b84f7123b,1.04,0,19,B7-04-S0021-F02,true,,,,,,7,10,
89,69ae6abfbec7c1c9b31cc0ac,BOX-PO-2026-506-NL61770-1773038271781-2,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69ae6abfbec7c1c9b31cc0ca,PO-2026-506,70/2-Dark Grey-Dark Grey-Nylon/Nylon,6926a7b9a5ccbd9b84f72005,2.8560000000000016,0,35,B7-04-S0053-F03,true,,,,,,1,34,
90,69946c8df0a2c8b07dc47816,BOX-PO-2026-921-93070-1771334797903-2,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69946c8df0a2c8b07dc4781a,PO-2026-921,30s-Denim Blue-Denim Blue-Cotton/Compact,6926a7b7a5ccbd9b84f71669,2.6430000000000007,0,7,B7-04-S0056-F01,true,,,,,,0,7,
91,69ae6208bec7c1c9b31c8468,BOX-PO-2026-506-NC-1614-1773036040224-14,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69ae6208bec7c1c9b31c849e,PO-2026-506,Soft top-Black-Black-Rubber/Soft top,6926a7b6a5ccbd9b84f7123d,9.244,0,34,B7-04-S0057-F03,true,,,,,,0,13,
92,69ae6208bec7c1c9b31c846f,BOX-PO-2026-506-NC-1614-1773036040224-21,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69ae6208bec7c1c9b31c84a5,PO-2026-506,Soft top-Black-Black-Rubber/Soft top,6926a7b6a5ccbd9b84f7123d,1.780000000000003,0,35,B7-04-S0059-F03,true,,,,,,0,35,
93,69ae6208bec7c1c9b31c846d,BOX-PO-2026-506-NC-1614-1773036040224-19,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69ae6208bec7c1c9b31c84a3,PO-2026-506,Soft top-Black-Black-Rubber/Soft top,6926a7b6a5ccbd9b84f7123d,10.63,0,37,B7-04-S0060-F03,true,,,,,,1,11,
94,69ae6208bec7c1c9b31c8478,BOX-PO-2026-506-NC-1614-1773036040224-30,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69ae6208bec7c1c9b31c84ae,PO-2026-506,Soft top-Black-Black-Rubber/Soft top,6926a7b6a5ccbd9b84f7123d,2.1919999999999966,0,34,B7-04-S0060-F03,true,,,,,,0,33,
