rowIndex,barcode,status,bucket,reason,coneId,boxId,poNumber,yarnName,yarnCatalogId,orderId,articleId,orderNumber,articleNumber,beforeIssueStatus,beforeConeWeight,beforeTearWeight,beforeConeStorageId,afterIssueStatus,afterConeWeight,afterTearWeight,afterConeStorageId,message
16,6a3b58767259ec86eff4cc2c,block_issued,block_issued,issue_status_issued,6a3b58767259ec86eff4cc54,BOX-PO-2026-869-94459-1774343236270-5,PO-2026-869,20s-Black-Black-Cotton/Compact,6926a7b6a5ccbd9b84f713bb,6a33858d1b196c2c23166a2d,6a338d9d1b196c2c231677cc,ORD-000082,A110,issued,1.148,0.05,-B7-01-S0033-F02,,,,,
497,69e5efd54dfe50532a16ccd1,block_issued,block_issued,issue_status_issued,69e5efd54dfe50532a16cce9,BOX-PO-2026-415-2552307704-1771328821195-61,PO-2026-415,20s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,691ef8bccb4c4b6d149a700b,6a33858d1b196c2c23166a2d,6a33858d1b196c2c23166a2a,ORD-000082,A3057,issued,2.46,0.05,B7-01-S0019-F03,,,,,
1521,6a04478c0c96a34c71e71909,block_issued,block_issued,issue_status_issued,6a04478c0c96a34c71e7192b,BOX-PO-2026-191-NC/1624-1772282213347-2,PO-2026-191,Soft top-Light Grey-Light Grey-Rubber/Soft top,6926a7b6a5ccbd9b84f7127d,6a3b933e7259ec86eff54de5,6a3b933e7259ec86eff54de4,ORD-000083,A4254,issued,0.34,0.05,B7-01-S0044-F01,,,,,
