rowIndex,barcode,boxId,status,boxWeightBefore,grossWeightBefore,numberOfConesBefore,storageBefore,storedStatusBefore
6,69a3eb1693145c5b28550780,BOX-PO-2026-1038-1984104640-1772350230717-7,updated,1,0,1,B7-02-S0001-F01,true
7,69a3f45293145c5b28550aa1,BOX-PO-2026-1040-LN20180-1772352594958-11,updated,2,0,2,B7-02-S0001-F01,true
8,69a4186a93145c5b285532e3,BOX-PO-2026-1044-ST 01.03.2026-1772361834361-1,updated,2,0,2,B7-02-S0001-F01,true
9,699aacc84583baeaf6e5e798,BOX-PO-2026-426-T1322-1771744456680-1,updated,8,0,8,B7-02-S0001-F02,true
10,699ac7c04583baeaf6e64ab1,BOX-PO-2026-702-DDM1906202-1771751360868-6,updated,2,0,2,B7-02-S0001-F02,true
11,699ace2e4583baeaf6e666dd,BOX-PO-2026-702-DDM1906268-1771753006686-1,updated,4,0,4,B7-02-S0001-F02,true
12,699d699eab645c0c4e410652,BOX-PO-2026-702-DDM1906226-1771923870104-1,updated,1,0,1,B7-02-S0001-F02,true
13,699e8011c926fc0fe8572448,BOX-PO-2026-405-95410-1771995153144-25,updated,4,0,4,B7-02-S0001-F02,true
14,699e8011c926fc0fe8572475,BOX-PO-2026-405-92178-1771995153144-48,updated,1,0,1,B7-02-S0001-F02,true
15,699e8011c926fc0fe8572479,BOX-PO-2026-405-T1340-1771995153144-50,updated,1,0,1,B7-02-S0001-F02,true
16,699e8011c926fc0fe857247b,BOX-PO-2026-405-95441-1771995153144-51,updated,2,0,2,B7-02-S0001-F02,true
17,69a04fe373179425022157fb,BOX-PO-2026-1006-67434-1772113891536-1,updated,1,0,1,B7-02-S0001-F02,true
18,69a177aba47ecd5436f6c13d,BOX-PO-2026-1017-DDM2108413-1772189611315-3,updated,3,0,3,B7-02-S0001-F02,true
19,69a183c0a47ecd5436f6da92,BOX-PO-2026-1018-EW67079-1772192704420-14,updated,7,0,7,B7-02-S0001-F02,true
20,69a1940ca47ecd5436f6e4fc,BOX-PO-2026-1020-95685-1772196876820-4,updated,2,0,2,B7-02-S0001-F02,true
