inputBarcode,action,reason,coneId,issueTxnId,orderId,orderno,articleId,articleNumber,machineId,yarnCatalogId,yarnName,returnTxnId,returnTxnGroupKey,moaYarnReturnStatusBefore,moaYarnReturnStatusAfter
69e8bdb1733c29bce0096d84,returned,Cone returned empty and un-issued; return transaction created when possible,69e8bdb1733c29bce0096d9b,69e8c4ce733c29bce009a590,69e88468733c29bce005bedc,ORD-000036,69e88468733c29bce005bed7,A142,6943e19b75f1ed1d469e13c8,6926a7b9a5ccbd9b84f71d77,70/1-Black-Black-Nylon/Nylon,69f1ebd836706eb42837f4f6,6926a7b9a5ccbd9b84f71d77|69e88468733c29bce005bedc|69e88468733c29bce005bed7|6943e19b75f1ed1d469e13c8|ORD-000036|A142,6993142f72fa03a7de6060ab:69e88468733c29bce005bf3c:In Progress,
69e8bdb1733c29bce0096d92,returned,Cone returned empty and un-issued; return transaction created when possible,69e8bdb1733c29bce0096da9,69ea8f8286f7ddd153dd605a,69e88468733c29bce005bedc,ORD-000036,69e88468733c29bce005bed7,A142,6943e19b75f1ed1d469e13c8,6926a7b9a5ccbd9b84f71d77,70/1-Black-Black-Nylon/Nylon,69f1ebd836706eb42837f4f6,6926a7b9a5ccbd9b84f71d77|69e88468733c29bce005bedc|69e88468733c29bce005bed7|6943e19b75f1ed1d469e13c8|ORD-000036|A142,6993142f72fa03a7de6060ab:69e88468733c29bce005bf3c:In Progress,
69e8bea9733c29bce0097262,returned,Cone returned empty and un-issued; return transaction created when possible,69e8bea9733c29bce0097284,69e8c8b4733c29bce009bce0,69e88468733c29bce005bedc,ORD-000036,69e88468733c29bce005bed7,A142,6943e19b75f1ed1d469e13c8,6926a7b9a5ccbd9b84f71ed9,70/2-Black-Black-Nylon/Nylon,69f1ebd836706eb42837f4fe,6926a7b9a5ccbd9b84f71ed9|69e88468733c29bce005bedc|69e88468733c29bce005bed7|6943e19b75f1ed1d469e13c8|ORD-000036|A142,6993142f72fa03a7de6060ab:69e88468733c29bce005bf3c:In Progress,
69e8bea9733c29bce0097272,returned,Cone returned empty and un-issued; return transaction created when possible,69e8bea9733c29bce0097294,,,,,,,,,,,,
69e8bea9733c29bce0097275,returned,Cone returned empty and un-issued; return transaction created when possible,69e8bea9733c29bce0097297,69ebe03086f7ddd153ebaed6,69e88468733c29bce005bedc,ORD-000036,69e88468733c29bce005bed7,A142,6943e19b75f1ed1d469e13c8,6926a7b9a5ccbd9b84f71ed9,70/2-Black-Black-Nylon/Nylon,69f1ebd836706eb42837f4fe,6926a7b9a5ccbd9b84f71ed9|69e88468733c29bce005bedc|69e88468733c29bce005bed7|6943e19b75f1ed1d469e13c8|ORD-000036|A142,6993142f72fa03a7de6060ab:69e88468733c29bce005bf3c:In Progress,
69e9ac64733c29bce00ec234,returned,Cone returned empty and un-issued; return transaction created when possible,69e9ac64733c29bce00ec248,69ebe06f86f7ddd153ebaf07,69e88468733c29bce005bedc,ORD-000036,69e88468733c29bce005bed7,A142,6943e19b75f1ed1d469e13c8,692e7cbcabe3fbc58a86e502,20/70-Black-Black-Nylon/Spandex,69f1ebd736706eb42837f4de,692e7cbcabe3fbc58a86e502|69e88468733c29bce005bedc|69e88468733c29bce005bed7|6943e19b75f1ed1d469e13c8|ORD-000036|A142,6993142f72fa03a7de6060ab:69e88468733c29bce005bf3c:In Progress,
69e9ad34733c29bce00eda44,returned,Cone returned empty and un-issued; return transaction created when possible,69e9ad34733c29bce00eda59,69eb0df086f7ddd153e4851f,69e88468733c29bce005bedc,ORD-000036,69e88468733c29bce005bedb,A049,6943e19d75f1ed1d469e144d,6926a7b8a5ccbd9b84f717d7,30s-White-White-Cotton/Compact,69f1ebc536706eb42837f2ce,6926a7b8a5ccbd9b84f717d7|69e88468733c29bce005bedc|69e88468733c29bce005bedb|6943e19d75f1ed1d469e144d|ORD-000036|A049,6993142f72fa03a7de6060e5:69e88469733c29bce005bf88:Pending,
69e9caea59aa9fc88a54e60a,returned,Cone returned empty and un-issued; return transaction created when possible,69e9caea59aa9fc88a54e623,69eb3ee186f7ddd153e8e486,69e08b3900ca64e3cf596a0a,ORD-000030,69e08b3900ca64e3cf5969ff,A132,6943e19c75f1ed1d469e1411,6926a7b7a5ccbd9b84f71533,20s-White-White-Cotton/Compact,69f1ebc036706eb42837f24c,6926a7b7a5ccbd9b84f71533|69e08b3900ca64e3cf596a0a|69e08b3900ca64e3cf5969ff|6943e19c75f1ed1d469e1411|ORD-000030|A132,6993142f72fa03a7de6060cb:69e08b3a00ca64e3cf596a69:In Progress,
69e9caea59aa9fc88a54e612,returned,Cone returned empty and un-issued; return transaction created when possible,69e9caea59aa9fc88a54e62b,69ea468086f7ddd153dd429c,69e08b3900ca64e3cf596a0a,ORD-000030,69e08b3900ca64e3cf5969ff,A132,6943e19c75f1ed1d469e1411,6926a7b7a5ccbd9b84f71533,20s-White-White-Cotton/Compact,69f1ebc036706eb42837f24c,6926a7b7a5ccbd9b84f71533|69e08b3900ca64e3cf596a0a|69e08b3900ca64e3cf5969ff|6943e19c75f1ed1d469e1411|ORD-000030|A132,6993142f72fa03a7de6060cb:69e08b3a00ca64e3cf596a69:In Progress,
69e9dc4c59aa9fc88a568443,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a56846b,69ea52d286f7ddd153dd4c6d,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568445,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a56846d,69ea52ac86f7ddd153dd4c05,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568447,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a56846f,69ea52c886f7ddd153dd4c53,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568448,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a568470,69ea52a286f7ddd153dd4bd1,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
69e9dc4c59aa9fc88a568449,returned,Cone returned empty and un-issued; return transaction created when possible,69e9dc4c59aa9fc88a568471,69ea529c86f7ddd153dd4bb7,69e869ee795e8688eebdc9cb,ORD-000035,69e869ee795e8688eebdc9ca,A101,6943e19c75f1ed1d469e13f3,6926a7b6a5ccbd9b84f713e3,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,69f1ebd736706eb42837f4e6,6926a7b6a5ccbd9b84f713e3|69e869ee795e8688eebdc9cb|69e869ee795e8688eebdc9ca|6943e19c75f1ed1d469e13f3|ORD-000035|A101,6993142f72fa03a7de6060bd:69e869ef795e8688eebdca47:Pending,
