inputBarcode,isValidObjectId,coneExistsAsId,reason,count
699aa55d43baeaf6e579bd,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579c4,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579c6,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579c7,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579c8,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579cf,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579d0,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579d2,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579d5,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579d9,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579e0,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579e8,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579eb,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579ec,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579f1,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579f2,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579f7,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579f8,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e579fc,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a04,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a06,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a09,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a0a,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a0c,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a0d,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a0e,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a0f,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a12,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a13,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a14,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a15,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a16,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a1a,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a1b,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a1c,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a1e,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a20,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a22,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a23,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a27,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a28,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a2d,false,not_checked,not_a_valid_objectid_24hex,1
699aa55d43baeaf6e57a31,false,not_checked,not_a_valid_objectid_24hex,1
